claim_id,paper_id,claim_type,entity,value_numeric,unit,normalized_value,benchmark,metric,condition,evidence_anchor,raw_text,confidence
C00078,P079,architecture_type,VIT,,,,,,section:unknown,section:unknown,resnet,0.8
C00079,P079,architecture_type,VIT,,,,,,section:unknown,section:unknown,resnet,0.8
C00080,P079,architecture_type,VIT,,,,,,section:unknown,section:unknown,resnet,0.8
C00081,P079,architecture_type,VIT,,,,,,section:unknown,section:unknown,resnet,0.8
C00082,P079,architecture_type,VIT,,,,,,section:unknown,section:unknown,cnn,0.8
C00083,P079,architecture_type,VIT,,,,,,section:unknown,section:unknown,cnn,0.8
C00084,P079,architecture_type,VIT,,,,,,section:unknown,section:unknown,cnn,0.8
C00085,P079,architecture_type,VIT,,,,,,section:unknown,section:unknown,cnn,0.8
C00086,P079,architecture_type,VIT,,,,,,section:unknown,section:unknown,cnn,0.8
C00087,P079,architecture_type,VIT,,,,,,section:unknown,section:unknown,cnn,0.8
C00088,P079,architecture_type,VIT,,,,,,section:unknown,section:unknown,cnn,0.8
C00089,P079,architecture_type,VIT,,,,,,section:unknown,section:unknown,cnn,0.8
C00090,P079,architecture_type,VIT,,,,,,section:unknown,section:unknown,cnn,0.8
C00091,P079,architecture_type,VIT,,,,,,section:unknown,section:unknown,cnn,0.8
C00092,P079,architecture_type,VIT,,,,,,section:unknown,section:unknown,cnn,0.8
C00093,P079,architecture_type,VIT,,,,,,section:unknown,section:unknown,cnn,0.8
C00094,P079,architecture_type,VIT,,,,,,section:unknown,section:unknown,cnn,0.8
C00095,P079,model_size,RESNET,3.0,,3.0,,,section:dataset,section:dataset,3 model,0.8
C00096,P079,model_size,RESNET,2.7,,2.7,,,section:dataset,section:dataset,2.7 model,0.8
C00097,P079,model_size,RESNET,2.8,,2.8,,,section:dataset,section:dataset,2.8 model,0.8
C00098,P079,model_size,RESNET,3.2,,3.2,,,section:dataset,section:dataset,3.2 model,0.8
C00099,P079,model_size,RESNET,2.0,,2.0,,,section:dataset,section:dataset,2 model,0.8
