paper_id,title,year,total_sections,total_chars,has_abstract,has_intro,has_method,has_experiment,has_results,has_limitations,unknown_section_count
P048,Unknown,Unknown,10,65984,False,True,True,False,True,False,1
P049,Unknown,Unknown,9,53813,True,True,True,True,True,False,1
P051,Unknown,Unknown,19,68568,True,True,True,True,True,False,1
P050,Unknown,Unknown,14,86943,False,False,True,False,True,False,1
P053,Unknown,Unknown,8,46543,True,True,False,False,False,False,1
P052,Unknown,Unknown,5,35551,False,False,True,True,True,False,1
P055,Unknown,Unknown,4,35694,False,True,False,False,False,False,1
P056,Unknown,Unknown,10,51699,True,True,True,True,True,False,1
P057,Unknown,Unknown,17,56560,True,True,True,True,True,False,1
P060,Unknown,Unknown,10,41252,False,True,True,False,True,False,1
P062,Unknown,Unknown,6,43732,True,False,True,False,False,False,1
P065,Unknown,Unknown,16,77782,True,True,True,True,True,False,1
P067,Unknown,Unknown,7,52710,True,True,True,False,False,False,1
P059,Unknown,Unknown,11,31347,False,False,True,False,True,False,1
P072,Unknown,Unknown,22,41121,False,True,True,False,True,False,1
P063,Unknown,Unknown,13,58786,True,True,True,False,True,True,1
P061,Unknown,Unknown,10,57950,True,True,True,True,True,False,1
P068,Unknown,Unknown,9,41896,True,True,True,True,True,False,1
P064,Unknown,Unknown,9,57621,True,True,False,True,False,False,1
P070,Unknown,Unknown,4,26235,False,False,False,True,True,False,1
P069,Unknown,Unknown,6,29363,False,False,False,False,True,False,1
P071,Unknown,Unknown,21,77714,True,True,True,True,True,False,1
P005,Unknown,Unknown,22,153841,True,True,True,True,True,False,1
P006,Unknown,Unknown,12,49651,True,True,True,True,True,False,1
P011,Unknown,Unknown,5,22933,True,True,False,False,True,False,1
P008,Unknown,Unknown,21,81667,True,True,True,True,True,False,1
P010,Unknown,Unknown,7,47478,True,True,True,False,True,False,1
P020,Unknown,Unknown,12,42693,True,True,True,True,True,False,1
P090,Unknown,Unknown,49,133108,False,True,False,False,True,False,1
P078,Unknown,Unknown,9,56127,False,True,False,False,True,False,1
P019,Unknown,Unknown,14,44488,True,True,False,True,True,False,1
P099,Unknown,Unknown,14,61057,True,True,True,False,True,False,1
P039,Unknown,Unknown,21,44668,False,False,False,False,True,False,1
P054,Unknown,Unknown,13,43757,True,False,True,False,False,False,1
P066,Unknown,Unknown,8,63471,False,False,True,True,True,False,1
C044,Unknown,Unknown,18,48876,True,True,True,False,True,False,1
C430,Unknown,Unknown,10,55816,False,True,False,False,False,False,1
C413,Unknown,Unknown,12,60138,True,True,False,True,True,False,1
C434,Unknown,Unknown,6,79738,False,True,False,False,True,False,1
C399,Unknown,Unknown,5,25177,True,True,False,False,True,False,1
C437,Unknown,Unknown,15,58112,False,False,True,True,True,True,1
C065,Unknown,Unknown,8,25967,True,True,True,True,False,False,1
C440,Unknown,Unknown,9,79121,True,False,True,True,True,False,1
C441,Unknown,Unknown,10,54978,True,True,True,False,True,False,1
C414,Unknown,Unknown,13,59081,False,False,False,False,True,False,1
C076,Unknown,Unknown,4,21744,True,True,False,False,False,False,1
C077,Unknown,Unknown,13,21541,True,True,True,True,True,False,1
C078,Unknown,Unknown,8,28867,False,True,True,False,True,False,1
C402,Unknown,Unknown,3,41410,False,True,False,False,True,False,1
C415,Unknown,Unknown,8,59542,True,True,True,True,False,False,1
C416,Unknown,Unknown,4,52301,False,True,False,False,False,False,1
C085,Unknown,Unknown,11,36673,False,True,False,False,True,False,1
C450,Unknown,Unknown,4,43482,True,False,False,False,False,False,1
C084,Unknown,Unknown,17,44113,True,False,True,False,True,False,1
C403,Unknown,Unknown,11,54941,True,True,False,True,True,False,1
C457,Unknown,Unknown,8,43609,True,False,False,False,True,False,1
C093,Unknown,Unknown,9,79630,True,True,False,False,True,False,1
C454,Unknown,Unknown,16,19744,False,True,True,True,True,False,1
C460,Unknown,Unknown,4,44576,True,False,False,True,True,False,1
C097,Unknown,Unknown,15,41554,True,True,True,False,True,False,1
C100,Unknown,Unknown,11,57903,True,True,False,True,False,False,1
C101,Unknown,Unknown,19,120616,False,True,True,False,True,False,1
C459,Unknown,Unknown,11,43771,True,True,True,True,True,False,1
C463,Unknown,Unknown,25,77596,False,False,False,True,True,False,1
C464,Unknown,Unknown,19,60742,True,True,True,False,True,False,1
C461,Unknown,Unknown,10,49682,True,True,True,True,False,False,1
C418,Unknown,Unknown,4,91772,False,False,False,True,False,False,1
